722880,"BURBANK-GLENDALE-PASADENA",,-8.0,34.200,-118.350,226,USA,4,NAP,Csb,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code)        
01/01/2004,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,6.9,C,8,-1.0,C,8,57,E,9,990,C,8,350,A,7,0.2,A,7,16093,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,5.9,C,8,-1.0,C,8,61,E,9,990,C,8,350,B,8,1.3,A,7,16093,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,5.0,C,8,-1.1,C,8,64,E,9,990,C,8,350,B,8,0.0,A,7,16093,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,4.9,C,8,-2.0,C,8,60,E,9,990,C,8,240,B,8,0.0,A,7,16093,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,B,8,0
01/01/2004,05:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,4.0,A,7,-2.0,A,7,64,E,9,990,A,7,240,A,7,0.2,A,7,16093,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,B,8,0
01/01/2004,06:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,3.9,A,7,-1.9,A,7,65,E,9,991,A,7,240,B,8,1.3,A,7,16093,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,B,8,0
01/01/2004,07:00,0,9,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,E,5,0,A,7,99,C,9,3.0,A,7,-1.0,A,7,75,E,9,991,A,7,240,B,8,0.0,A,7,15717,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,08:00,122,1411,19,E,5,0,E,5,19,E,5,2032,E,5,0,E,5,3117,E,5,81,E,5,0,A,7,99,C,9,3.1,A,7,-1.0,A,7,74,E,9,992,A,7,240,B,8,0.0,A,7,12874,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,09:00,352,1411,54,E,5,0,E,5,54,E,5,5723,E,5,0,E,5,8425,E,5,219,E,5,0,A,7,99,C,9,4.2,A,7,-1.0,A,7,69,E,9,993,A,7,240,A,7,0.2,A,7,13249,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,10:00,545,1411,113,E,5,0,E,5,113,E,5,11851,E,5,0,E,5,16721,E,5,445,E,5,0,A,7,99,C,9,6.2,A,7,-0.8,A,7,61,E,9,994,A,7,240,A,7,1.5,A,7,15717,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,11:00,680,1411,454,E,5,480,E,5,223,E,5,50752,E,5,39890,E,5,25039,E,5,1173,E,5,0,A,7,99,C,9,8.2,A,7,1.0,A,7,61,E,9,995,A,7,220,B,8,1.3,A,7,12874,A,7,77777,A,7,1.0,F,9,,,,,,,0,1,?,0,0
01/01/2004,12:00,748,1411,355,E,5,161,E,5,270,E,5,39582,E,5,14472,E,5,30218,E,5,1447,E,5,0,A,7,99,C,9,10.4,A,7,0.8,A,7,52,E,9,994,A,7,130,A,7,0.2,A,7,13061,A,7,77777,A,7,1.0,F,9,,,,,,,0,1,B,8,0
01/01/2004,13:00,744,1411,451,E,5,382,E,5,250,E,5,50582,E,5,33294,E,5,28131,E,5,1338,E,5,0,A,7,99,C,9,13.2,A,7,-1.2,A,7,37,E,9,994,A,7,130,A,7,2.2,A,7,14671,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,14:00,669,1411,270,E,5,74,E,5,235,E,5,30037,E,5,6450,E,5,26257,E,5,1232,E,5,0,A,7,99,C,9,15.1,A,7,-3.0,A,7,28,E,9,993,A,7,150,A,7,3.2,A,7,16093,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,B,8,0
01/01/2004,15:00,527,1411,184,E,5,38,E,5,170,E,5,20421,E,5,2867,E,5,18920,E,5,851,E,5,0,A,7,99,C,9,16.0,A,7,-2.8,A,7,27,E,9,993,A,7,180,A,7,4.1,A,7,16093,A,7,77777,A,7,0.8,F,9,,,,,,,0,1,B,8,0
01/01/2004,16:00,328,1411,122,E,5,34,E,5,115,E,5,13278,E,5,1786,E,5,12476,E,5,534,E,5,0,A,7,99,C,9,15.9,A,7,-0.8,A,7,32,E,9,992,A,7,150,A,7,4.1,A,7,16093,A,7,77777,A,7,0.9,F,9,,,,,,,0,1,B,8,0
01/01/2004,17:00,100,1310,15,E,5,15,E,5,14,E,5,1795,E,5,0,E,5,1669,E,5,61,E,5,0,B,8,99,C,9,15.2,C,8,0.9,C,8,38,E,9,993,B,8,180,B,8,4.1,B,8,16093,B,8,77777,R,7,1.0,F,9,,,,,,,0,1,B,8,999
01/01/2004,18:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,14.4,A,7,2.1,A,7,44,E,9,992,A,7,200,A,7,3.8,A,7,16093,A,7,77777,A,7,1.1,F,9,,,,,,,0,1,B,8,0
01/01/2004,19:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,13.9,A,7,3.1,A,7,48,E,9,992,A,7,200,A,7,3.5,A,7,16093,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,B,8,0
01/01/2004,20:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,12.9,A,7,4.1,A,7,55,E,9,993,A,7,160,A,7,2.5,A,7,16093,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,B,8,0
01/01/2004,21:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,1,A,7,99,C,9,11.9,A,7,5.2,A,7,64,E,9,993,A,7,180,A,7,2.0,A,7,15529,A,7,77777,A,7,1.3,F,9,,,,,,,0,1,B,8,0
01/01/2004,22:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,8,A,7,99,C,9,11.0,A,7,7.0,A,7,76,E,9,993,A,7,160,A,7,1.5,A,7,9997,A,7,2700,A,7,1.5,F,9,,,,,,,0,1,B,8,5
01/01/2004,23:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,0,A,7,99,C,9,10.8,A,7,4.9,A,7,67,E,9,993,A,7,130,A,7,1.5,A,7,11077,A,7,77777,A,7,1.3,F,9,,,,,,,0,1,B,8,5
01/01/2004,24:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,1,A,7,99,C,9,9.0,A,7,4.0,A,7,71,E,9,993,A,7,350,B,8,1.3,A,7,10031,A,7,77777,A,7,1.2,F,9,,,,,,,0,1,B,8,0
01/02/2004,01:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,10,A,7,99,C,9,9.1,A,7,4.0,A,7,71,E,9,993,A,7,250,A,7,0.4,A,7,12874,A,7,2065,A,7,1.2,F,9,,,,,,,0,1,B,8,0
01/02/2004,02:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,10,A,7,99,C,9,10.0,A,7,4.2,A,7,67,E,9,993,A,7,250,B,8,2.7,A,7,12686,A,7,1764,A,7,1.2,F,9,,,,,,,0,1,B,8,0
01/02/2004,03:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,10,A,7,99,C,9,10.1,A,7,6.0,A,7,76,E,9,992,A,7,130,A,7,0.2,A,7,11265,A,7,1493,A,7,1.4,F,9,,,,,,,0,1,B,8,0
01/02/2004,04:00,0,0,0,?,0,0,?,0,0,E,5,0,?,0,0,?,0,0,?,0,0,?,0,10,A,7,99,C,9,10.9,A,7,6.0,A,7,72,E,9,992,A,7,130,A,7,2.0,A,7,11265,A,7,1324,A,7,1.4,F,9,,,,,,,0,1,B,8,0
