,0
2019-01-01 00:00:00+00:00,1.085
2019-01-01 01:00:00+00:00,1.0961
2019-01-01 02:00:00+00:00,0.7914
2019-01-01 03:00:00+00:00,0.6
2019-01-01 04:00:00+00:00,0.6
2019-01-01 05:00:00+00:00,0.6
2019-01-01 06:00:00+00:00,0.7633
2019-01-01 07:00:00+00:00,0.345
2019-01-01 08:00:00+00:00,-0.345
2019-01-01 09:00:00+00:00,-0.8547
2019-01-01 10:00:00+00:00,-1.4703
2019-01-01 11:00:00+00:00,-1.7039
2019-01-01 12:00:00+00:00,-2.0172
2019-01-01 13:00:00+00:00,-2.8976
2019-01-01 14:00:00+00:00,-3.8813
2019-01-01 15:00:00+00:00,-3.9
2019-01-01 16:00:00+00:00,-4.1375
2019-01-01 17:00:00+00:00,-4.3968
2019-01-01 18:00:00+00:00,-4.1363
2019-01-01 19:00:00+00:00,-4.2086
2019-01-01 20:00:00+00:00,-4.4047
2019-01-01 21:00:00+00:00,-4.775
2019-01-01 22:00:00+00:00,-5.3703
2019-01-01 23:00:00+00:00,-5.6
2019-01-02 00:00:00+00:00,-5.6
2019-01-02 01:00:00+00:00,-5.6
2019-01-02 02:00:00+00:00,-5.6039
2019-01-02 03:00:00+00:00,-5.9086
2019-01-02 04:00:00+00:00,-6.1
2019-01-02 05:00:00+00:00,-6.1
2019-01-02 06:00:00+00:00,-6.2247
2019-01-02 07:00:00+00:00,-6.4727
2019-01-02 08:00:00+00:00,-6.8476
2019-01-02 09:00:00+00:00,-6.7
2019-01-02 10:00:00+00:00,-6.7
2019-01-02 11:00:00+00:00,-6.3758
2019-01-02 12:00:00+00:00,-6.1
2019-01-02 13:00:00+00:00,-5.8328
2019-01-02 14:00:00+00:00,-5.2297
2019-01-02 15:00:00+00:00,-4.9953
2019-01-02 16:00:00+00:00,-4.62
2019-01-02 17:00:00+00:00,-3.6556
2019-01-02 18:00:00+00:00,-3.0751
2019-01-02 19:00:00+00:00,-2.2506
2019-01-02 20:00:00+00:00,-1.485
2019-01-02 21:00:00+00:00,-1.5111
2019-01-02 22:00:00+00:00,-2.3828
2019-01-02 23:00:00+00:00,-3.1086
2019-01-03 00:00:00+00:00,-3.3132
2019-01-03 01:00:00+00:00,-4.3539
2019-01-03 02:00:00+00:00,-5.3703
2019-01-03 03:00:00+00:00,-5.6
2019-01-03 04:00:00+00:00,-5.6086
2019-01-03 05:00:00+00:00,-6.2704
2019-01-03 06:00:00+00:00,-6.0211
2019-01-03 07:00:00+00:00,-5.5953
2019-01-03 08:00:00+00:00,-5.2343
2019-01-03 09:00:00+00:00,-5.3703
2019-01-03 10:00:00+00:00,-5.5953
2019-01-03 11:00:00+00:00,-5.2297
2019-01-03 12:00:00+00:00,-5.0086
2019-01-03 13:00:00+00:00,-5.6572
2019-01-03 14:00:00+00:00,-4.3547
2019-01-03 15:00:00+00:00,-1.925
2019-01-03 16:00:00+00:00,0.2797
2019-01-03 17:00:00+00:00,2.8414
2019-01-03 18:00:00+00:00,4.9578
2019-01-03 19:00:00+00:00,6.2828
2019-01-03 20:00:00+00:00,7.0086
2019-01-03 21:00:00+00:00,7.1743
2019-01-03 22:00:00+00:00,5.1585
2019-01-03 23:00:00+00:00,3.5343
2019-01-04 00:00:00+00:00,3.6571
2019-01-04 01:00:00+00:00,2.8507
2019-01-04 02:00:00+00:00,2.1961
2019-01-04 03:00:00+00:00,1.8867
2019-01-04 04:00:00+00:00,1.3211
2019-01-04 05:00:00+00:00,0.3907
2019-01-04 06:00:00+00:00,-2.4072
2019-01-04 07:00:00+00:00,-3.8868
2019-01-04 08:00:00+00:00,-2.8725
2019-01-04 09:00:00+00:00,-3.9236
2019-01-04 10:00:00+00:00,-4.6258
2019-01-04 11:00:00+00:00,-4.0953
2019-01-04 12:00:00+00:00,-4.2047
2019-01-04 13:00:00+00:00,-4.0657
2019-01-04 14:00:00+00:00,-1.8367
2019-01-04 15:00:00+00:00,1.511
2019-01-04 16:00:00+00:00,3.8008
2019-01-04 17:00:00+00:00,5.4625
2019-01-04 18:00:00+00:00,7.1617
2019-01-04 19:00:00+00:00,8.7922
2019-01-04 20:00:00+00:00,9.7657
2019-01-04 21:00:00+00:00,9.6126
2019-01-04 22:00:00+00:00,8.0118
2019-01-04 23:00:00+00:00,4.7804
2019-01-05 00:00:00+00:00,2.3163
2019-01-05 01:00:00+00:00,1.9915
2019-01-05 02:00:00+00:00,0.8374
2019-01-05 03:00:00+00:00,-0.3789
2019-01-05 04:00:00+00:00,-1.2704
2019-01-05 05:00:00+00:00,-1.0211
2019-01-05 06:00:00+00:00,-0.5953
2019-01-05 07:00:00+00:00,-0.2343
2019-01-05 08:00:00+00:00,-0.361
2019-01-05 09:00:00+00:00,0.136
2019-01-05 10:00:00+00:00,0.225
2019-01-05 11:00:00+00:00,-0.3703
2019-01-05 12:00:00+00:00,-0.6039
2019-01-05 13:00:00+00:00,-0.8915
2019-01-05 14:00:00+00:00,0.2711
2019-01-05 15:00:00+00:00,2.1749
2019-01-05 16:00:00+00:00,4.8586
2019-01-05 17:00:00+00:00,7.8414
2019-01-05 18:00:00+00:00,9.9578
2019-01-05 19:00:00+00:00,11.2789
2019-01-05 20:00:00+00:00,11.6953
2019-01-05 21:00:00+00:00,11.2869
2019-01-05 22:00:00+00:00,7.6874
2019-01-05 23:00:00+00:00,4.1765
2019-01-06 00:00:00+00:00,2.9782
2019-01-06 01:00:00+00:00,1.7375
2019-01-06 02:00:00+00:00,0.0468
