,start_date,end_date,latitude,longitude
0,2018-04-10 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
1,2018-06-29 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
2,2019-08-19 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-1.75
3,2019-02-25 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
4,2020-03-29 00:00:00.000000,2022-12-22 12:10:30.014357,51.25,-0.5
5,2020-04-01 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
6,2018-04-16 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
7,2020-03-31 00:00:00.000000,2022-12-22 12:10:30.014357,51.5,0.0
8,,2022-12-22 12:10:30.014357,46.25,11.0
9,2020-01-03 00:00:00.000000,2022-12-22 12:10:30.014357,51.75,0.0
10,2019-07-29 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
11,,2022-12-22 12:10:30.014357,46.25,11.0
12,2020-07-16 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
13,2020-09-21 00:00:00.000000,2022-12-22 12:10:30.014357,55.75,-4.25
14,,2022-12-22 12:10:30.014357,46.25,11.0
15,,2022-12-22 12:10:30.014357,46.25,11.0
16,2020-01-21 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-1.5
17,2020-12-11 00:00:00.000000,2022-12-22 12:10:30.014357,54.0,-1.0
18,,2022-12-22 12:10:30.014357,52.25,0.25
19,2020-12-29 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
20,2021-05-20 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
21,2020-01-10 00:00:00.000000,2022-12-22 12:10:30.014357,51.5,-0.5
22,,2022-12-22 12:10:30.014357,53.5,-2.25
23,,2022-12-22 12:10:30.014357,51.75,0.25
24,2020-12-03 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.0
25,2021-05-07 00:00:00.000000,2022-12-22 12:10:30.014357,54.0,-3.25
26,2021-05-14 00:00:00.000000,2022-12-22 12:10:30.014357,52.25,0.0
27,2021-02-14 00:00:00.000000,2022-12-22 12:10:30.014357,51.5,0.0
28,2020-07-20 00:00:00.000000,2022-12-22 12:10:30.014357,53.0,-1.5
29,2021-08-16 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
30,2020-07-30 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
31,2020-08-06 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-3.0
32,2021-08-11 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
33,2020-09-04 00:00:00.000000,2022-12-22 12:10:30.014357,51.5,-0.25
34,2020-10-02 00:00:00.000000,2022-12-22 12:10:30.014357,51.5,-0.25
35,2021-03-17 00:00:00.000000,2022-12-22 12:10:30.014357,53.0,-1.25
36,2021-08-31 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.75
37,,2022-12-22 12:10:30.014357,51.5,-0.25
38,2021-06-08 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
39,2021-10-07 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
40,2021-06-18 00:00:00.000000,2022-12-22 12:10:30.014357,54.0,-2.0
41,2020-12-11 00:00:00.000000,2022-12-22 12:10:30.014357,54.0,-1.0
42,2021-01-07 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.5
43,2020-11-08 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-1.5
44,,2022-12-22 12:10:30.014357,54.0,-1.0
45,2021-08-13 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
46,2020-11-15 00:00:00.000000,2022-12-22 12:10:30.014357,50.75,-3.5
47,2021-09-22 00:00:00.000000,2022-12-22 12:10:30.014357,53.75,-2.0
48,2020-12-02 00:00:00.000000,2022-12-22 12:10:30.014357,51.0,-1.25
49,2021-06-16 00:00:00.000000,2022-12-22 12:10:30.014357,56.0,-3.25
50,2021-01-01 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.0
51,2022-03-08 00:00:00.000000,2022-12-22 12:10:30.014357,52.5,-1.0
52,2021-02-01 00:00:00.000000,2022-12-22 12:10:30.014357,53.75,-1.75
53,2021-02-12 00:00:00.000000,2022-12-22 12:10:30.014357,54.0,-1.25
54,2022-03-04 00:00:00.000000,2022-12-22 12:10:30.014357,50.75,-1.25
55,2021-08-17 00:00:00.000000,2022-12-22 12:10:30.014357,51.25,-0.25
56,2021-03-30 00:00:00.000000,2022-12-22 12:10:30.014357,51.25,0.0
57,2021-11-23 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.0
58,2022-04-12 00:00:00.000000,2022-12-22 12:10:30.014357,53.75,-2.0
59,2021-08-17 00:00:00.000000,2022-12-22 12:10:30.014357,53.0,-2.0
60,2021-04-20 00:00:00.000000,2022-12-22 12:10:30.014357,51.25,0.5
61,2021-04-28 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.75
62,2021-05-05 00:00:00.000000,2022-12-22 12:10:30.014357,54.25,-0.75
63,,2022-12-22 12:10:30.014357,51.25,0.25
64,2021-06-27 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.25
65,2021-06-27 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.25
66,,2022-12-22 12:10:30.014357,53.5,-2.25
67,2022-07-31 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
68,2021-09-01 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
69,2021-11-03 00:00:00.000000,2022-12-22 12:10:30.014357,54.75,-1.75
70,2021-08-27 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.0
71,2022-03-21 00:00:00.000000,2022-12-22 12:10:30.014357,53.25,-2.5
72,2022-04-11 00:00:00.000000,2022-12-22 12:10:30.014357,51.5,0.0
73,2021-09-14 00:00:00.000000,2022-12-22 12:10:30.014357,53.5,-2.25
